Size,K,Device,Train_Time,Test_Time,Train_Acc,Test_Acc,Percent_data_used,Training_Samples,Testing_Samples
64,10,cuda,38.3868145942688,0.18202805519104004,0.9889705882352942,0.9705488621151271,1,2992,747
64,10,cpu,185.30941581726074,0.7066583633422852,0.9752673796791443,0.9675502008032129,1,2992,747
64,50,cuda,61.773207902908325,0.32074594497680664,0.8696852567642187,0.7715549005158437,1,5433,1357
64,50,cpu,415.5221927165985,1.6436443328857422,0.8597459966869133,0.7324981577008106,1,5433,1357
128,10,cuda,48.49500250816345,0.29592156410217285,0.973596256684492,0.9718072289156626,1,2992,747
128,10,cpu,571.0667984485626,2.5678412914276123,0.9883021390374331,0.9678714859437751,1,2992,747
128,50,cuda,83.70490169525146,0.43631935119628906,0.9053929688937972,0.8054532056005895,1,5433,1357
128,50,cpu,1097.1664102077484,5.237633943557739,0.8954537088164918,0.8069270449521002,1,5433,1357
