Size,K,Device,Train_Time,Test_Time,Train_Acc,Test_Acc,Percent_data_used,Training_Samples,Testing_Samples
32,10,cuda,37.48101019859314,0.15750885009765625,0.9224598930481284,0.9022757697456493,1,2992,747
32,10,cpu,85.57056403160095,0.23505806922912598,0.9301470588235294,0.8768406961178046,1,2992,747
32,20,cuda,39.2401328086853,0.1970374584197998,0.7967327262988751,0.7802786709539121,1,3734,933
32,20,cpu,110.68717288970947,0.27855515480041504,0.7678093197643278,0.7738478027867095,1,3734,933
32,50,cuda,58.23626756668091,0.273928165435791,0.5109515921222161,0.5239498894620487,1,5433,1357
32,50,cpu,161.90603876113892,0.3920729160308838,0.5380084667771029,0.5585851142225498,1,5433,1357
32,101,cuda,75.9334716796875,0.36007142066955566,0.34343711425044576,0.3386388583973655,1,7291,1822
32,101,cpu,218.07923245429993,0.5601046085357666,0.3570154985598683,0.3743139407244786,1,7291,1822
64,10,cuda,33.61324501037598,0.17501568794250488,0.9789438502673797,0.9585006693440429,1,2992,747
64,10,cpu,150.24217438697815,0.5938379764556885,0.9802807486631016,0.9531459170013387,1,2992,747
64,20,cuda,42.00006818771362,0.22756743431091309,0.9608998393144081,0.8853161843515541,1,3734,933
64,20,cpu,194.10416460037231,0.7636103630065918,0.9432244242099626,0.8885316184351554,1,3734,933
64,50,cuda,61.15690469741821,0.3135569095611572,0.8851463279955826,0.7605011053795137,1,5433,1357
64,50,cpu,337.7998847961426,1.3330566883087158,0.8932449843548684,0.7538688282977155,1,5433,1357
64,101,cuda,82.01058506965637,0.4350712299346924,0.7378960362090248,0.579582875960483,1,7291,1822
64,101,cpu,559.086127281189,2.1303393840789795,0.7591551227540804,0.5779363336992316,1,7291,1822
128,10,cuda,43.721349000930786,0.2489786148071289,0.9732620320855615,0.9344042838018741,1,2992,747
128,10,cpu,523.9689345359802,2.5730504989624023,0.9692513368983957,0.965194109772423,1,2992,747
128,20,cuda,54.18071269989014,0.300534725189209,0.9651847884306374,0.8831725616291533,1,3734,933
128,20,cpu,671.7248618602753,3.3000400066375732,0.9627745045527585,0.9067524115755627,1,3734,933
128,50,cuda,78.6752417087555,0.426058292388916,0.9063132707528069,0.8025055268975682,1,5433,1357
128,50,cpu,1001.6582326889038,4.717883825302124,0.9009755199705504,0.7789240972733972,1,5433,1357
128,101,cuda,106.12510561943054,0.5895256996154785,0.8336305033603072,0.6300768386388584,1,7291,1822
128,101,cpu,1422.6966955661774,6.806756258010864,0.8238924701687012,0.6092206366630076,1,7291,1822
32,10,cuda,15.8691725730896,0.07151341438293457,0.7653743315508021,0.8181818181818182,0.5,1496,374
32,10,cpu,49.68598484992981,0.13204693794250488,0.785427807486631,0.767379679144385,0.5,1496,374
32,20,cuda,19.79516839981079,0.1140291690826416,0.6314943760042849,0.6359743040685225,0.5,1867,467
32,20,cpu,61.681071758270264,0.16752028465270996,0.6909480449919657,0.69593147751606,0.5,1867,467
32,50,cuda,28.68412494659424,0.127516508102417,0.3588516746411483,0.3952802359882006,0.5,2717,678
32,50,cpu,89.06756019592285,0.23755884170532227,0.18549871181450128,0.20943952802359883,0.5,2717,678
32,101,cuda,38.1034517288208,0.19403553009033203,0.2792100932528799,0.2689352360043908,0.5,3646,911
32,101,cpu,122.1069450378418,0.3249521255493164,0.2679648930334613,0.2667398463227223,0.5,3646,911
64,10,cuda,17.184887170791626,0.07751727104187012,0.9946524064171123,0.9518716577540107,0.5,1496,374
64,10,cpu,87.22796320915222,0.3530759811401367,0.982620320855615,0.9438502673796791,0.5,1496,374
64,20,cuda,21.255258083343506,0.1320183277130127,0.888055704338511,0.8115631691648822,0.5,1867,467
64,20,cpu,117.83650612831116,0.47489142417907715,0.920728441349759,0.8372591006423983,0.5,1867,467
64,50,cuda,33.64160203933716,0.14151835441589355,0.8807508281192492,0.6917404129793511,0.5,2717,678
64,50,cpu,206.53126192092896,0.8111305236816406,0.8627162311372838,0.6607669616519174,0.5,2717,678
64,101,cuda,41.37054371833801,0.25995349884033203,0.6977509599561162,0.5455543358946213,0.5,3646,911
64,101,cpu,316.5156080722809,1.2415575981140137,0.6673066374108613,0.5587266739846323,0.5,3646,911
128,10,cuda,21.946086883544922,0.11051011085510254,0.9659090909090909,0.893048128342246,0.5,1496,374
128,10,cpu,275.6363935470581,1.3301873207092285,0.9879679144385026,0.9090909090909091,0.5,1496,374
128,20,cuda,27.18616509437561,0.17211604118347168,0.951794322442421,0.8736616702355461,0.5,1867,467
128,20,cpu,350.2193293571472,1.7154603004455566,0.9453668987680771,0.8822269807280514,0.5,1867,467
128,50,cuda,39.413880825042725,0.1980271339416504,0.8347442031652558,0.7035398230088495,0.5,2717,678
128,50,cpu,533.5078468322754,2.55220627784729,0.861244019138756,0.7345132743362832,0.5,2717,678
128,101,cuda,52.936814308166504,0.287534236907959,0.7408118486012069,0.5993413830954994,0.5,3646,911
128,101,cpu,740.6524777412415,3.4977478981018066,0.7665935271530444,0.6147091108671789,0.5,3646,911
32,10,cuda,6.6143786907196045,0.030000925064086914,0.5776293823038398,0.6510067114093959,0.2,599,149
32,10,cpu,20.612431526184082,0.06352019309997559,0.44240400667779634,0.348993288590604,0.2,599,149
32,20,cuda,8.11949610710144,0.03799891471862793,0.5033467202141901,0.5828877005347594,0.2,747,187
32,20,cpu,25.544254302978516,0.06850457191467285,0.5649263721552878,0.6524064171122995,0.2,747,187
32,50,cuda,11.841448545455933,0.054000139236450195,0.2667893284268629,0.33210332103321033,0.2,1087,271
32,50,cpu,37.430809020996094,0.10052108764648438,0.28334866605335784,0.2915129151291513,0.2,1087,271
32,101,cuda,15.667301893234253,0.09251880645751953,0.10555174777244689,0.17857142857142858,0.2,1459,364
32,101,cpu,51.306909799575806,0.1413745880126953,0.10486634681288554,0.16758241758241757,0.2,1459,364
64,10,cuda,7.224684238433838,0.03500533103942871,0.9682804674457429,0.9194630872483222,0.2,599,149
64,10,cpu,38.09143829345703,0.1595165729522705,0.9632721202003339,0.9328859060402684,0.2,599,149
64,20,cuda,8.846762418746948,0.04051780700683594,0.8607764390896921,0.8235294117647058,0.2,747,187
64,20,cpu,52.49257802963257,0.20353031158447266,0.9143239625167336,0.7754010695187166,0.2,747,187
64,50,cuda,12.671122550964355,0.055516958236694336,0.7056117755289788,0.6309963099630996,0.2,1087,271
64,50,cpu,85.91126418113708,0.33258771896362305,0.7295308187672493,0.5571955719557196,0.2,1087,271
64,101,cuda,16.99939274787903,0.14551901817321777,0.568882796435915,0.4725274725274725,0.2,1459,364
64,101,cpu,134.06756591796875,0.5305800437927246,0.44893762851267993,0.43131868131868134,0.2,1459,364
128,10,cuda,9.173950672149658,0.04650545120239258,0.9298831385642737,0.8456375838926175,0.2,599,149
128,10,cpu,113.32824778556824,0.5615994930267334,0.9699499165275459,0.9261744966442953,0.2,599,149
128,20,cuda,11.129253387451172,0.05651116371154785,0.9009370816599732,0.8181818181818182,0.2,747,187
128,20,cpu,143.03898978233337,0.6983842849731445,0.8862115127175368,0.8449197860962567,0.2,747,187
128,50,cuda,16.031275510787964,0.08151078224182129,0.7258509659613616,0.6715867158671587,0.2,1087,271
128,50,cpu,217.00402450561523,1.0443952083587646,0.7828886844526219,0.6715867158671587,0.2,1087,271
128,101,cuda,22.03420615196228,0.16072916984558105,0.5558601782042495,0.5247252747252747,0.2,1459,364
128,101,cpu,298.77015376091003,1.4038949012756348,0.6079506511309116,0.5,0.2,1459,364
