Size,K,Train_Time,Test_Time,Train_Acc,Test_Acc,Training_Samples,Testing_Samples
64,2,7.779834985733032,0.06816220283508301,0.9945269741985927,0.9968652037617555,1279,319
64,2,15.606067419052124,0.13865065574645996,0.9910050840829097,0.9812206572769953,2557,639
64,5,14.129080772399902,0.12311458587646484,0.9816943380161771,0.9658703071672355,2349,586
64,5,28.623368978500366,0.24739670753479004,0.9374068554396423,0.9096334185848253,4697,1173
64,10,17.975984573364258,0.15922927856445312,0.9381684491978609,0.9464524765729585,2992,747
64,10,37.907256841659546,0.3723182678222656,0.9154270432893198,0.8662207357859532,5983,1495
64,15,22.072349309921265,0.1908717155456543,0.929456906729634,0.9101654846335697,3388,846
64,15,45.915106773376465,0.399477481842041,0.8820664206642066,0.8487891317188423,6775,1693
